spanish,english,context
huésped susceptible,susceptible host,Life sciences > Microbiology
huésped susceptible,host,Medical Sciences > Public health
humedad absoluta,absolute moisture,Earth and Space Sciences > Metereology and Oceanography
humedad absoluta,absolute humidity,Technological Sciences > Chemical technology and engineering
humedad específica,specific humidity,Technological Sciences > Chemical technology and engineering
humedad específica,humidity ratio,Technological Sciences > Environmental technology and engineering
igualdad,equality,Mathematics > Algebra
igualdad,equality,Mathematics > Statistics
igualdad,equality,Mathematics > Analysis and functional analysis
igualdad, equation,Mathematics > Analysis and functional analysis
igualdad, identity,Mathematics > Analysis and functional analysis
imagen,image,Mathematics > Algebra
imagen,image,Physics > Electro-magnetism
imagen,image,Medical Sciences > Medical diagnostic and Treatment Technology
imagen,image,Mathematics > Analysis and functional analysis
imagen,image,Physics > Optics
imagen,frame,Physics > Theoretical physics
impedimento estérico,steric hindrance,Chemistry > Organic chemistry
impedimento estérico,esteric impediment,Life sciences > Biochemistry and Molecular Biology
impuesto sobre el valor añadido,value added tax,Economic Sciences > General economics
impuesto sobre el valor añadido, VAT,Economic Sciences > General economics
impuesto sobre el valor añadido,value added tax,Technological Sciences > Projects
impuesto sobre el valor añadido, VAT,Technological Sciences > Projects
impuesto sobre el valor añadido,value added tax,Economic Sciences > Organization and management of enterprises
impuesto sobre el valor añadido, VAT,Economic Sciences > Organization and management of enterprises
impuesto sobre la renta,income tax,Economic Sciences > General economics
impuesto sobre la renta,income tax,Economic Sciences > Organization and management of enterprises
impuesto sobre la renta, tax on income,Economic Sciences > Organization and management of enterprises
impulso,impulse,Technological Sciences > Telecommunications technology
impulso, pulse,Technological Sciences > Telecommunications technology
impulso,impulse,Physics > Aplied Physics
impulso,impulse,Physics > Mechanics
impulso,impulse,Physics > General Physics specialities
impulso,pulse,Life sciences > Animal Biology
impulso nervioso,action potential,Life sciences > Animal Biology
impulso nervioso, nerve pulse,Life sciences > Animal Biology
impulso nervioso,nerve impulse,Chemistry > Organic chemistry
incertidumbre,uncertainty,Life sciences > Biochemistry and Molecular Biology
incertidumbre,indeterminacy,Physics > Electro-magnetism
incertidumbre, uncertainty,Physics > Electro-magnetism
incertidumbre,uncertainty,Physics > Theoretical physics
incertidumbre,uncertainty,Chemistry > Analytical chemistry
incremento,increment,Mathematics > Analysis and functional analysis
incremento,increase,Medical Sciences > Pharmaceutical Technology
incremento,increase,Mathematics > Operations research
incremento,increase,Technological Sciences > Electronic technology
indeterminación,indeterminate,Mathematics > Analysis and functional analysis
indeterminación, indetermination,Mathematics > Analysis and functional analysis
indeterminación,indeterminacy,Physics > Electro-magnetism
indeterminación, uncertainty,Physics > Electro-magnetism
indicador,indicator,Medical Sciences > Pharmaceutical Technology
indicador,indicator,Technological Sciences > Industrial technology
indicador,indicator,Economic Sciences > Econometrics
indicador,index,Technological Sciences > Environmental technology and engineering
indicador, indicator,Technological Sciences > Environmental technology and engineering
indicador,indicator,Chemistry > Physical chemistry
indicador,indicator,Chemistry > Analytical chemistry
indicador,pointer,Technological Sciences > Computer technology
indicador, flag,Technological Sciences > Computer technology
indicador biológico,bioindicator,Technological Sciences > Environmental technology and engineering
indicador biológico, biological indicator,Technological Sciences > Environmental technology and engineering
indicador biológico,biological marker,Medical Sciences > Pharmaceutical Technology
índice,index,Physics > Electro-magnetism
índice,rate,Medical Sciences > Pharmacology
índice,index,Mathematics > Algebra
índice,index,Technological Sciences > Computer technology
índice,index,Medical Sciences > Pharmaceutical Technology
índice,index,Technological Sciences > Projects
índice,index,Technological Sciences > Environmental technology and engineering
índice de precios al consumo,consumer price index,Economic Sciences > General economics
índice de precios al consumo, CPI,Economic Sciences > General economics
índice de precios al consumo,Consumer Price Index,Technological Sciences > Projects
índice de precios al consumo, CPI,Technological Sciences > Projects
índice de refracción,index of refraction,Technological Sciences > Telecommunications technology
índice de refracción, refractive index,Technological Sciences > Telecommunications technology
índice de refracción,refractive index,Life sciences > Cell biology
índice de refracción,index of refraction,Physics > Electro-magnetism
índice de refracción, refractive index,Physics > Electro-magnetism
índice de refracción,refractive index,Chemistry > Analytical chemistry
índice de refracción,refraction index,Physics > General Physics specialities
índice de refracción,refraction index,Chemistry > Physical chemistry
índice de refracción, refractive index,Chemistry > Physical chemistry
índice de refracción,refraction index,Life sciences > Biochemistry and Molecular Biology
índice de refracción, refractive index,Life sciences > Biochemistry and Molecular Biology
índice de refracción,refractive index,Physics > Optics
inducción,induction,Chemistry > Analytical chemistry
inducción,induction,Mathematics > Algebra
inducción,induction,Medical Sciences > Pharmacology
inducción,induction,Physics > Electro-magnetism
inducción,induction,Mathematics > Analysis and functional analysis
inducción, mathematical induction,Mathematics > Analysis and functional analysis
inducción,induction,Technological Sciences > Food technology
inducción,induction,Technological Sciences > Electrical technology and engineering
inducción,induction,Physics > Aplied Physics
inductor,choke,Technological Sciences > Electronic technology
inductor, coil,Technological Sciences > Electronic technology
inductor,inducer,Medical Sciences > Pharmaceutical Technology
inductor,field system,Technological Sciences > Electrical technology and engineering
inductor, inductor,Technological Sciences > Electrical technology and engineering
infección urinaria,urinary tract infection,Medical Sciences > Microbiology
infección urinaria,urinary infection,Medical Sciences > Pharmacology
infinito,infinite,Physics > Aplied Physics
infinito,infinite,Mathematics > Analysis and functional analysis
infinito, infinity,Mathematics > Analysis and functional analysis
infinito,infinity,Mathematics > Statistics
infinito,infinite,Medical Sciences > Pharmaceutical Technology
información,information,Technological Sciences > Computer technology
información,information,Technological Sciences > Electronic technology
información,data,Technological Sciences > Instrumentation technology
información, information,Technological Sciences > Instrumentation technology
informe,inform,Medical Sciences > Pharmacology
informe,report,Technological Sciences > Instrumentation technology
informe,report,Medical Sciences > Pharmaceutical Technology
informe,report,Technological Sciences > Projects
inhalación,inspiration,Life sciences > Animal Biology
inhalación,inhalation,Medical Sciences > Pathology
inhalación,inhalation,Life sciences > Human physiology
inhalación, inspiration,Life sciences > Human physiology
inhalación,inhalation,Medical Sciences > Pharmaceutical Technology
inhibición enzimática,enzymatic inhibition,Life sciences > Biochemistry and Molecular Biology
inhibición enzimática,enzyme inhibition,Chemistry > Organic chemistry
inmunosupresor,immunosuppresive drug,Medical Sciences > Microbiology
inmunosupresor,immunosuppressant,Chemistry > Organic chemistry
inmunosupresor,immunosuppressor,Life sciences > Human physiology
inspección,audit,Technological Sciences > Environmental technology and engineering
inspección,inspection,Technological Sciences > Projects
inspección,inspection,Technological Sciences > Mechanical engineering and technology
inspección,inspection,Medical Sciences > Pharmaceutical Technology
inspección,inspection,Economic Sciences > Organization and management of enterprises
instrucción,command,Technological Sciences > Computer technology
instrucción, instruction,Technological Sciences > Computer technology
instrucción, sentence,Technological Sciences > Computer technology
instrucción,instruction,Technological Sciences > Instrumentation technology
instrucción,instruction,Technological Sciences > Telecommunications technology
instrucciones,indication,Medical Sciences > Pharmacology
instrucciones, instructions,Medical Sciences > Pharmacology
instrucciones,guidelines,Medical Sciences > Nutritional sciences
insuficiencia renal,renal failure,Medical Sciences > Pathology
insuficiencia renal,kidney failure,Medical Sciences > Pharmacology
intensidad de campo,field strength,Technological Sciences > Telecommunications technology
intensidad de campo,field intensity,Physics > Electro-magnetism
intensidad de corriente,current,Physics > Aplied Physics
intensidad de corriente,current intensity,Physics > General Physics specialities
intensidad de corriente, electric current,Physics > General Physics specialities
intensidad de corriente,amperage,Technological Sciences > Electrical technology and engineering
intensidad de corriente, current,Technological Sciences > Electrical technology and engineering
intensidad de corriente, current intensity,Technological Sciences > Electrical technology and engineering
intensidad de corriente, intensity,Technological Sciences > Electrical technology and engineering
intensidad de corriente,current intensity,Physics > Electro-magnetism
intensidad de corriente, intensity of current,Physics > Electro-magnetism
intensidad de la corriente eléctrica,current,Technological Sciences > Electronic technology
intensidad de la corriente eléctrica, current intensity,Technological Sciences > Electronic technology
intensidad de la corriente eléctrica, intensity,Technological Sciences > Electronic technology
intensidad de la corriente eléctrica,electric current intensity,Physics > Electro-magnetism
intensidad de la corriente eléctrica, electric intensity,Physics > Electro-magnetism
intensidad del sonido,acoustic intensity,Physics > General Physics specialities
intensidad del sonido, sound intensity,Physics > General Physics specialities
intensidad del sonido,sound volume,Physics > Aplied Physics
intensidad inducida,induced current,Physics > Aplied Physics
intensidad inducida, intensidad inducida,Physics > Aplied Physics
intensidad inducida,induced intensity,Physics > Electro-magnetism
intensidad luminosa,light intensity,Physics > Electro-magnetism
intensidad luminosa, luminous intensity,Physics > Electro-magnetism
intensidad luminosa,light intensity,Physics > Optics
intensidad luminosa,luminous intensity,Physics > General Physics specialities
interfase,interphase,Technological Sciences > Environmental technology and engineering
interfase,interphase,Life sciences > Cell biology
interfase,interface,Technological Sciences > Telecommunications technology
interfase,interphase,Chemistry > Analytical chemistry
intermediario metabólico,metabolite,Life sciences > Biochemistry and Molecular Biology
intermediario metabólico,metabolic intermediate,Medical Sciences > Microbiology
interrupción,interrupt,Technological Sciences > Computer technology
interrupción,interruption,Medical Sciences > Pharmacology
interrupción,interruption,Technological Sciences > Environmental technology and engineering
interrupción,outage,Technological Sciences > Telecommunications technology
interruptor,breaker,Physics > Electro-magnetism
interruptor,breaker,Technological Sciences > Electronic technology
interruptor, switch,Technological Sciences > Electronic technology
interruptor,switch,Physics > Aplied Physics
interruptor,switch,Technological Sciences > Environmental technology and engineering
interruptor,breaker,Technological Sciences > Electrical technology and engineering
interruptor, circuit breaker,Technological Sciences > Electrical technology and engineering
interruptor, interrupter,Technological Sciences > Electrical technology and engineering
interruptor, switch,Technological Sciences > Electrical technology and engineering
intersección ficticia,fictitious intersection,Technological Sciences > Industrial technology
intersección ficticia,virtual intersection,Technological Sciences > Mechanical engineering and technology
intoxicación alimentaria,food intoxication-poisoning,Technological Sciences > Food technology
intoxicación alimentaria,food poisoning,Medical Sciences > Microbiology
inventario,inventory,Economic Sciences > Organization and management of enterprises
inventario, stocktaking,Economic Sciences > Organization and management of enterprises
inventario,inventory,Economic Sciences > General economics
inventario, stock,Economic Sciences > General economics
inventario,inventory,Technological Sciences > Environmental technology and engineering
inversión,investment,Technological Sciences > Environmental technology and engineering
inversión,inversion,Physics > Theoretical physics
inversión, reversal,Physics > Theoretical physics
inversión,investment,Economic Sciences > Organization and management of enterprises
inversión,reversal,Technological Sciences > Telecommunications technology
inversión,investment,Technological Sciences > Projects
inversión,investment,Economic Sciences > General economics
inversión,investment,Economic Sciences > Economic theory
inversor,inverter,Technological Sciences > Electronic technology
inversor, NOT gate,Technological Sciences > Electronic technology
inversor,investor,Economic Sciences > General economics
inversor,inverter,Technological Sciences > Electrical technology and engineering
isoterma,isotherm,Earth and Space Sciences > Geology
isoterma,isotherm,Chemistry > Physical chemistry
isoterma,isothermal curve,Physics > Thermodynamics
isoterma,isotherm,Earth and Space Sciences > Metereology and Oceanography
IVA,value added tax,Economic Sciences > Organization and management of enterprises
IVA, VAT,Economic Sciences > Organization and management of enterprises
IVA,value added tax,Technological Sciences > Projects
IVA, VAT,Technological Sciences > Projects
IVA,value added tax,Economic Sciences > General economics
IVA, VAT,Economic Sciences > General economics
juntura,junction,Technological Sciences > Electronic technology
juntura,joint,Technological Sciences > Environmental technology and engineering
lámina,sheet,Technological Sciences > Environmental technology and engineering
lámina,drawing paper,Technological Sciences > Industrial technology
lámina,sheet,Technological Sciences > Mechanical engineering and technology
lámina,sheet,Medical Sciences > Medical diagnostic and Treatment Technology
lámina,plate,Physics > Electro-magnetism
lámina, sheet,Physics > Electro-magnetism
laminar,laminate,Technological Sciences > Mechanical engineering and technology
laminar, roll,Technological Sciences > Mechanical engineering and technology
laminar,laminate,Technological Sciences > Industrial technology
laminar,roll,Technological Sciences > Construction technology
largo plazo,long-term,Medical Sciences > Pharmacology
largo plazo,long run,Economic Sciences > Organization and management of enterprises
largo plazo, long term,Economic Sciences > Organization and management of enterprises
largo plazo,long-run,Economic Sciences > General economics
largo plazo,long term,Economic Sciences > Economic theory
largo plazo, long-run,Economic Sciences > Economic theory
larva,larva,Medical Sciences > Microbiology
larva,larva (pl. larvae),Life sciences > Animal Biology
larva,larva,Life sciences > Microbiology
larva,larva,Technological Sciences > Environmental technology and engineering
lecho fluido,fluidized bed,Technological Sciences > Chemical technology and engineering
lecho fluido,fluidized bed,Technological Sciences > Environmental technology and engineering
lecho fluido,fluid bed,Technological Sciences > Electrical technology and engineering
lecho fluido, fluidised bed,Technological Sciences > Electrical technology and engineering
lengüeta,tenon,Technological Sciences > Mechanical engineering and technology
lengüeta,tongue,Technological Sciences > Industrial technology
lepra,lepra,Medical Sciences > Pharmacology
lepra,leprosy,Chemistry > Organic chemistry
leucocito,leukocyte,Life sciences > Microbiology
leucocito,leucocyte,Medical Sciences > Microbiology
ley de conservación,conservation law,Physics > Aplied Physics
ley de conservación,conservation law,Physics > General Physics specialities
ley de conservación,conservation rule,Physics > Theoretical physics
ley de conservación,conservation law,Physics > Mechanics
ley de conservación,conservation law,Technological Sciences > Environmental technology and engineering
ley de conservación,conservation law,Physics > Electro-magnetism
ley de conservación, law of conservation,Physics > Electro-magnetism
ley de Lenz,Lenz law,Technological Sciences > Electrical technology and engineering
ley de Lenz,Lenz's law,Physics > Electro-magnetism
ley de rendimientos decrecientes,law of dimishing returns,Economic Sciences > General economics
ley de rendimientos decrecientes,law of decreasing returns,Economic Sciences > Economic theory
ley de rendimientos decrecientes, law of diminishing returns,Economic Sciences > Economic theory
límite,limit,Mathematics > Analysis and functional analysis
límite,boundary,Technological Sciences > Projects
límite,limit,Technological Sciences > Electrical technology and engineering
límite de integración,integration limit,Physics > Electro-magnetism
límite de integración,integral limit,Mathematics > Analysis and functional analysis
límite elástico,limit of elasticity,Technological Sciences > Mechanical engineering and technology
límite elástico, yield point,Technological Sciences > Mechanical engineering and technology
límite elástico,elastic limit,Physics > Aplied Physics
línea de corriente,streamline,Physics > Mechanics
línea de corriente,flux line,Technological Sciences > Environmental technology and engineering
línea de corriente, stream line,Technological Sciences > Environmental technology and engineering
línea de corriente,streamline,Physics > Fluids (physics of)
liofilización,lyophilization,Technological Sciences > Food technology
liofilización,lyophilization,Life sciences > Microbiology
liofilización,lyophilization,Life sciences > Cell biology
liofilización,freeze drying,Chemistry > Analytical chemistry
liofilización,lyophilization,Medical Sciences > Pharmaceutical Technology
liquidación,liquidation,Economic Sciences > Organization and management of enterprises
liquidación, settlement,Economic Sciences > Organization and management of enterprises
liquidación,adjustment,Technological Sciences > Projects
liquidación, liquidation,Technological Sciences > Projects
líquido cefalorraquídeo,cerebrospinal fluid,Life sciences > Human physiology
líquido cefalorraquídeo,cerebral spinal fluid,Medical Sciences > Microbiology
líquido cefalorraquídeo, CSF,Medical Sciences > Microbiology
lisogenia,lysogeny,Life sciences > Microbiology
lisogenia,lysogen,Medical Sciences > Microbiology
lisogenia, lysogenic,Medical Sciences > Microbiology
lixiviado,leachate,Technological Sciences > Environmental technology and engineering
lixiviado,lixiviate,Life sciences > Biochemistry and Molecular Biology
lluvia ácida,acid rain,Technological Sciences > Environmental technology and engineering
lluvia ácida,acidic rain,Chemistry > Analytical chemistry
lóbulo,lobule,Life sciences > Human physiology
lóbulo,lobe,Technological Sciences > Telecommunications technology
lóbulo,lobe,Physics > Electro-magnetism
localización,localization,Technological Sciences > Computer technology
localización,location,Medical Sciences > Pharmacology
localización,location,Medical Sciences > Medical diagnostic and Treatment Technology
longitud,length,Technological Sciences > Electronic technology
longitud,length,Mathematics > Algebra
longitud,length,Technological Sciences > Projects
longitud,longitude,Technological Sciences > Construction technology
longitud,length,Technological Sciences > Environmental technology and engineering
longitud,length,Medical Sciences > Pharmaceutical Technology
longitud,length,Technological Sciences > Mechanical engineering and technology
longitud,length,Physics > General Physics specialities
longitud,length,Life sciences > Animal Biology
longitud,length,Mathematics > Analysis and functional analysis
longitud, longitude,Mathematics > Analysis and functional analysis
longitud,length,Chemistry > Physical chemistry
longitud de onda,wavelength,Earth and Space Sciences > Geology
longitud de onda,wavelength,Physics > General Physics specialities
longitud de onda,wavelength,Medical Sciences > Pharmaceutical Technology
longitud de onda,wave length,Technological Sciences > Telecommunications technology
longitud de onda, wavelength,Technological Sciences > Telecommunications technology
longitud de onda,wavelength,Technological Sciences > Environmental technology and engineering
longitud de onda,wavelength,Technological Sciences > Food technology
longitud de onda,wavelenght,Physics > Optics
longitud de onda,wavelength,Chemistry > Physical chemistry
longitud de onda,wavelength,Physics > Aplied Physics
longitud de onda,wave-length,Life sciences > Biochemistry and Molecular Biology
longitud de onda,wavelength,Life sciences > Microbiology
longitud de onda,wavelength,Chemistry > Organic chemistry
longitud de onda,wavelength,Physics > Electro-magnetism
longitud de onda,wave lenght,Chemistry > Analytical chemistry
longitud de onda, wavelength,Chemistry > Analytical chemistry
longitud de onda,wavelength,Technological Sciences > Electronic technology
longitud de onda,wavelength,Medical Sciences > Medical diagnostic and Treatment Technology
lugar geométrico,geometric locus,Physics > Electro-magnetism
lugar geométrico,geometric locus,Mathematics > Analysis and functional analysis
lugar geométrico,geometric locus,Technological Sciences > Construction technology
lugar geométrico,locus,Technological Sciences > Mechanical engineering and technology
luz,span,Technological Sciences > Construction technology
luz,lumen,Life sciences > Human physiology
luz,light,Physics > Electro-magnetism
luz,ligth,Chemistry > Physical chemistry
luz,light,Physics > Optics
luz,light,Medical Sciences > Medical diagnostic and Treatment Technology
macroeconomía,macroeconomics,Economic Sciences > Economic theory
macroeconomía, macroeconomy,Economic Sciences > Economic theory
macroeconomía,macroeconomics,Economic Sciences > General economics
magnetizar,magnetise,Technological Sciences > Electrical technology and engineering
magnetizar,magnetize,Physics > Electro-magnetism
magnitud,quantity,Physics > General Physics specialities
magnitud,magnitude,Medical Sciences > Pharmaceutical Technology
magnitud,quantity,Physics > Mechanics
magnitud,impact magnitude,Technological Sciences > Environmental technology and engineering
magnitud, magnitude,Technological Sciences > Environmental technology and engineering
magnitud,magnitude,Mathematics > Analysis and functional analysis
magnitud,physical quantity,Physics > Electro-magnetism
magnitud, quantity,Physics > Electro-magnetism
magnitud,magnitude,Physics > Aplied Physics
magnitud,magnitude,Technological Sciences > Electronic technology
magnitud derivada,derived magnitude,Technological Sciences > Environmental technology and engineering
magnitud derivada,derived quantity,Physics > General Physics specialities
magnitud escalar,scalar magnitude,Technological Sciences > Construction technology
magnitud escalar,scalar quantity,Physics > General Physics specialities
magnitud escalar,scalar quanty,Physics > Electro-magnetism
magnitud física,physical quantity,Physics > Electro-magnetism
magnitud física, quantity,Physics > Electro-magnetism
magnitud física,physical quantity,Physics > General Physics specialities
magnitud física,physical quantity,Physics > Mechanics
magnitud física,phisical magnitude,Physics > Aplied Physics
magnitud fundamental,base quantity,Technological Sciences > Mechanical engineering and technology
magnitud fundamental,fundamental magnitudes,Technological Sciences > Environmental technology and engineering
magnitud vectorial,vector quantity,Physics > Mechanics
magnitud vectorial,vector magnitude,Technological Sciences > Construction technology
magnitud vectorial,vector quantity,Physics > Electro-magnetism
magnitud vectorial,vector magnitude,Physics > Aplied Physics
magnitud vectorial, vector quantity,Physics > Aplied Physics
manipulación,handling,Technological Sciences > Food technology
manipulación,manipulation,Technological Sciences > Environmental technology and engineering
mano de obra,labour force,Economic Sciences > General economics
mano de obra, manpower,Economic Sciences > General economics
mano de obra,labour,Economic Sciences > Organization and management of enterprises
mano de obra, manpower,Economic Sciences > Organization and management of enterprises
mano de obra,manpower,Technological Sciences > Projects
marca,mark,Medical Sciences > Pharmaceutical Technology
marca,mark,Technological Sciences > Mechanical engineering and technology
marca,trade marks,Economic Sciences > General economics
margen terapéutico,therapeutic range,Medical Sciences > Pharmacology
margen terapéutico,therapeutic index,Medical Sciences > Microbiology
masa,mass,Physics > Mechanics
masa,mass,Technological Sciences > Construction technology
masa,mass,Physics > General Physics specialities
masa,earth,Technological Sciences > Electrical technology and engineering
masa, exposed conductive part,Technological Sciences > Electrical technology and engineering
masa, earthing,Technological Sciences > Electrical technology and engineering
masa, ground connection,Technological Sciences > Electrical technology and engineering
masa,mass,Medical Sciences > Pharmaceutical Technology
masa,mass,Physics > Electro-magnetism
masa,mass,Chemistry > Analytical chemistry
masa,mass,Chemistry > Physical chemistry
masa,mass,Physics > Aplied Physics
materia,matter,Physics > Aplied Physics
materia,matter,Chemistry > Physical chemistry
materia,material,Technological Sciences > Environmental technology and engineering
materia, matter,Technological Sciences > Environmental technology and engineering
materia,matter,Physics > Mechanics
materia,matter,Medical Sciences > Pharmaceutical Technology
materia,matter,Physics > Electro-magnetism
materia,matter,Chemistry > Analytical chemistry
materia inerte,inert matter,Chemistry > Analytical chemistry
materia inerte,inert material,Technological Sciences > Environmental technology and engineering
material aislante,insulating material,Technological Sciences > Electronic technology
material aislante,insulation material,Physics > Electro-magnetism
material aislante, insulator material,Physics > Electro-magnetism
material conductor,conducting material,Technological Sciences > Electrical technology and engineering
material conductor,conductor,Physics > Electro-magnetism
material conductor, conductor material,Physics > Electro-magnetism
material conductor,conductive material,Technological Sciences > Electronic technology
material filtrante,filter material,Technological Sciences > Environmental technology and engineering
material filtrante,filtration material,Medical Sciences > Pharmaceutical Technology
matraz,volumetric flask,Medical Sciences > Pharmaceutical Technology
matraz,flask,Chemistry > Physical chemistry
matraz,flask,Technological Sciences > Environmental technology and engineering
matraz,flask,Medical Sciences > Microbiology
matraz,flask,Chemistry > Analytical chemistry
matraz,flask,Chemistry > Organic chemistry
matraz,flask,Life sciences > Biochemistry and Molecular Biology
matriz,matrix,Chemistry > Analytical chemistry
matriz,matrix,Medical Sciences > Medical diagnostic and Treatment Technology
matriz,array,Technological Sciences > Computer technology
matriz,matrix,Mathematics > Algebra
matriz,matrix,Technological Sciences > Telecommunications technology
matriz,matrix,Life sciences > Cell biology
matriz,matrix,Physics > General Physics specialities
matriz,matrix,Mathematics > Analysis and functional analysis
matriz,matrix,Technological Sciences > Construction technology
matriz,matrix,Earth and Space Sciences > Geology
matriz,die,Technological Sciences > Mechanical engineering and technology
matriz,matrix,Medical Sciences > Pharmaceutical Technology
matriz escalonada,reduced row  matrix,Mathematics > Algebra
matriz escalonada,row echelon matrix,Mathematics > Analysis and functional analysis
mecanismo de acción,mechanism of action,Chemistry > Organic chemistry
mecanismo de acción,action mechanism,Medical Sciences > Pharmacology
mecanismo de acción, mechanism of action,Medical Sciences > Pharmacology
mecanismo de acción,mechanism of action,Medical Sciences > Microbiology
mecanismo de acción,action mechanism,Life sciences > Animal Biology
mecanismo de acción,mechanism of action,Life sciences > Biochemistry and Molecular Biology
mecanismo de patogenicidad,mechanism of pathogenesis,Medical Sciences > Microbiology
mecanismo de patogenicidad,pathogenic mechanism,Life sciences > Microbiology
mecanismo de transmisión,mechanism of transmission,Medical Sciences > Microbiology
mecanismo de transmisión,transmission mechanism,Medical Sciences > Public health
media,average,Technological Sciences > Construction technology
media,mean,Economic Sciences > Econometrics
media,mean,Technological Sciences > Telecommunications technology
media, mean value,Technological Sciences > Telecommunications technology
media,average,Physics > Aplied Physics
media, mean,Physics > Aplied Physics
media,mean,Physics > Thermodynamics
media,average,Medical Sciences > Pharmaceutical Technology
media,mean,Mathematics > Statistics
media,average,Mathematics > Analysis and functional analysis
media, mean,Mathematics > Analysis and functional analysis
media,average,Technological Sciences > Environmental technology and engineering
media, mean,Technological Sciences > Environmental technology and engineering
media aritmética,arithmetic mean,Mathematics > Statistics
media aritmética,arithmetic mean,Mathematics > Analysis and functional analysis
media aritmética,arithmetic average,Physics > Electro-magnetism
media aritmética,arithmetic mean,Life sciences > Biochemistry and Molecular Biology
media aritmética,arithmetic mean,Medical Sciences > Pharmaceutical Technology
media geométrica,geometric mean,Mathematics > Statistics
media geométrica,geometric average,Physics > Electro-magnetism
mediana,median,Technological Sciences > Mechanical engineering and technology
mediana, midline,Technological Sciences > Mechanical engineering and technology
mediana,median,Mathematics > Statistics
mediana,mediam,Economic Sciences > Econometrics
medicamento,medicament,Medical Sciences > Pharmacology
medicamento,medication,Chemistry > Organic chemistry
medicamento, medicine,Chemistry > Organic chemistry
medicamento,medicine,Medical Sciences > Pharmaceutical Technology
medición,measurement,Technological Sciences > Instrumentation technology
medición,measuring,Physics > General Physics specialities
medición,measurement,Physics > Electro-magnetism
medición,measurement,Technological Sciences > Construction technology
medición,measure,Technological Sciences > Environmental technology and engineering
medición,measurement,Life sciences > Animal Biology
medición,measuring,Chemistry > Physical chemistry
medición,measurement,Technological Sciences > Projects
medición,measurement,Technological Sciences > Electronic technology
medida,measure,Technological Sciences > Environmental technology and engineering
medida,measurement,Technological Sciences > Projects
medida,measure,Mathematics > Analysis and functional analysis
medida,measure,Mathematics > Statistics
medida,measuring,Physics > General Physics specialities
medida, measurement,Physics > General Physics specialities
medida,measure,Technological Sciences > Instrumentation technology
medida,measure,Technological Sciences > Construction technology
medida,measurement,Medical Sciences > Pharmaceutical Technology
medida,measurement,Medical Sciences > Pharmacology
medida,measure,Physics > Electro-magnetism
medida,measurement,Chemistry > Analytical chemistry
medida,measurement,Technological Sciences > Electronic technology
medida,measurement,Technological Sciences > Electrical technology and engineering
medida, result of a measurement,Technological Sciences > Electrical technology and engineering
medida de protección,protecting measure,Technological Sciences > Environmental technology and engineering
medida de protección, protective measure,Technological Sciences > Environmental technology and engineering
medida de protección,protection measure,Technological Sciences > Projects
medida de seguridad,safety measure,Technological Sciences > Projects
medida de seguridad,safety measure,Technological Sciences > Instrumentation technology
medida de seguridad, security measure,Technological Sciences > Instrumentation technology
medio,medium,Physics > Electro-magnetism
medio,environment,Technological Sciences > Environmental technology and engineering
medio, medium,Technological Sciences > Environmental technology and engineering
medio,media,Medical Sciences > Pharmaceutical Technology
medio,medium,Physics > Aplied Physics
medio,medium,Life sciences > Cell biology
medio,medium,Physics > Thermodynamics
medio, surroundings,Physics > Thermodynamics
medio básico,basic medium,Chemistry > Organic chemistry
medio básico,alkaline medium,Chemistry > Analytical chemistry
medio básico,basic medium,Chemistry > Physical chemistry
medio de cultivo,culture medium,Life sciences > Cell biology
medio de cultivo,culture-media,Medical Sciences > Microbiology
medio de cultivo,growth medium,Life sciences > Biochemistry and Molecular Biology
medio de cultivo,culture medium,Medical Sciences > Pharmaceutical Technology
médula espinal,bone marrow,Medical Sciences > Pharmacology
médula espinal,spinal cord,Life sciences > Human physiology
médula espinal,spinal cord,Life sciences > Microbiology
memoria,memory,Medical Sciences > Pharmacology
memoria,memory,Technological Sciences > Computer technology
memoria, storage,Technological Sciences > Computer technology
memoria, store,Technological Sciences > Computer technology
memoria,memory,Technological Sciences > Instrumentation technology
memoria,report,Technological Sciences > Projects
memoria, project report,Technological Sciences > Projects
memoria,memory,Technological Sciences > Telecommunications technology
mercado de bienes,goods market,Economic Sciences > Economic theory
mercado de bienes,product market,Economic Sciences > General economics
mercado de competencia perfecta,perfectly competitive market,Economic Sciences > General economics
mercado de competencia perfecta,perfect competition market,Economic Sciences > Economic theory
mercado exterior,foreign market,Economic Sciences > General economics
mercado exterior,external market,Economic Sciences > Organization and management of enterprises
mercancía,commodity,Economic Sciences > General economics
mercancía, merchandise,Economic Sciences > General economics
mercancía,goods,Economic Sciences > Organization and management of enterprises
mercancía, merchandise,Economic Sciences > Organization and management of enterprises
método,method,Medical Sciences > Pharmacology
método,method,Technological Sciences > Computer technology
método,method,Physics > General Physics specialities
método,method,Mathematics > Analysis and functional analysis
método,method,Medical Sciences > Pharmaceutical Technology
método,valuation methodology,Economic Sciences > Economic accounting
métrica,metrics,Physics > Electro-magnetism
métrica,metric,Physics > General Physics specialities
métrica,distance,Mathematics > Analysis and functional analysis
métrica, metric,Mathematics > Analysis and functional analysis
milímetro de mercurio,millimetre of mercury,Earth and Space Sciences > Metereology and Oceanography
milímetro de mercurio, torr,Earth and Space Sciences > Metereology and Oceanography
milímetro de mercurio,millimeter of mercury,Physics > General Physics specialities
módulo,module,Technological Sciences > Telecommunications technology
módulo, modulus,Technological Sciences > Telecommunications technology
